accession	fonction	taille
AT2G21870	description:MALE	2677
AT2G21880	description:RAB	1793
AT2G21890	description:cinnamyl	1588
AT2G21900	description:WRKY	2434
AT2G21910	description:cytochrome	1789
AT2G21920	description:F-box	3749
AT2G21930	description:F-box	1499
AT2G21940	description:shikimate	2515
AT2G21950	description:SKP1	1471
AT2G21960	description:transmembrane	2249
AT2G21970	description:stress	984
AT2G21980	description:HAUS	179
AT2G21990	description:MIZU-KUSSEI-like	1346
AT2G22000	description:elicitor	1090
AT2G22010	description:related	6352
AT2G22030	description:Galactose	1151
AT2G22040	description:Transducin/WD40	1822
AT2G22050	description:Galactose	1178
AT2G22055	description:RALF-like	649
AT2G22060	description:galactose	1153
AT2G22070	description:pentatricopeptide	2869
AT2G22080	description:transmembrane	1810
AT2G22088		665
AT2G22090	description:RNA-binding	1506
AT2G22100	description:RNA-binding	2040
AT2G22120	description:RING/FYVE/PHD	3199
AT2G22121	description:low-molecular-weight	395
AT2G22122		768
AT2G22125	description:binding	8519
AT2G22140	description:essential	4154
AT2G22145	description:ECA1	383
AT2G22155	description:ECA1	410
AT2G22160	description:Cysteine	317
AT2G22170	description:Lipase/lipooxygenase,	1374
AT2G22180	description:hydroxyproline-rich	1398
AT2G22190	description:Haloacid	3042
AT2G22200	description:Integrase-type	1355
AT2G22230	description:Thioesterase	1693
AT2G22240	description:myo-inositol-1-phosphate	2695
AT2G22241		155
AT2G22250	description:aspartate	3122
AT2G22260	description:oxidoreductase,	2512
AT2G22270	description:hematological/neurological-like	1928
AT2G22290	description:RAB	1559
AT2G22300	description:signal	5423
AT2G22310	description:ubiquitin-specific	2381
AT2G22320		335
AT2G22330	description:cytochrome	2991
AT2G22340	description:transmembrane	1248
AT2G22345	description:Cysteine-rich	391
AT2G22360	description:DNAJ	3149
AT2G22370	description:mediator	1426
AT2G22400	description:S-adenosyl-L-methionine-dependent	4236
AT2G22410	description:SLOW	2215
AT2G22420	description:Peroxidase	1528
AT2G22425	description:Microsomal	979
AT2G22426		476
AT2G22430	description:homeobox	1857
AT2G22440	description:non-LTR	1150
AT2G22450	description:riboflavin	2701
AT2G22460	description:MIZU-KUSSEI-like	1094
AT2G22465	description:transmembrane	429
AT2G22470	description:arabinogalactan	836
AT2G22475	description:GRAM	3910
AT2G22480	description:phosphofructokinase	3357
AT2G22490	description:Cyclin	2342
AT2G22500	description:uncoupling	2076
AT2G22510	description:hydroxyproline-rich	761
AT2G22520		557
AT2G22530	description:Alkaline-phosphatase-like	4848
AT2G22540	description:K-box	4254
AT2G22560	description:Kinase	3817
AT2G22570	description:nicotinamidase	1497
AT2G22590	description:UDP-Glycosyltransferase	1623
AT2G22600	description:RNA-binding	2701
AT2G22610	description:Di-glucose	5206
AT2G22620	description:Rhamnogalacturonate	5889
AT2G22630	description:AGAMOUS-like	3956
AT2G22640	description:BRICK1	1338
AT2G22650	description:FAD-dependent	2486
AT2G22660	description:DNA-binding	3941
AT2G22670	description:indoleacetic	2365
AT2G22680	description:Zinc	2385
AT2G22690	description:zinc	1884
AT2G22720	description:SPT2	3436
AT2G22730	description:Major	3114
AT2G22740	description:SU(VAR)3-9	2873
AT2G22750	description:basic	2231
AT2G22760	description:basic	1658
AT2G22770	description:basic	2051
AT2G22780	description:peroxisomal	2859
AT2G22790		1295
AT2G22795		2813
AT2G22800	description:Homeobox-leucine	1585
AT2G22805	description:Defensin-like	871
AT2G22807	description:Defensin-like	1143
AT2G22810	description:1-aminocyclopropane-1-carboxylate	1992
AT2G22820		350
AT2G22830	description:squalene	2769
AT2G22840	description:growth-regulating	2821
AT2G22850	description:basic	1320
AT2G22860	description:phytosulfokine	801
AT2G22870	description:P-loop	2292
AT2G22880	description:VQ	344
AT2G22890	description:Kua-ubiquitin	1243
AT2G22900	description:Galactosyl	2289
AT2G22905	description:Expressed	771
AT2G22910	description:N-acetyl-l-glutamate	3246
AT2G22920	description:serine	3859
AT2G22930	description:UDP-Glycosyltransferase	1645
AT2G22940		1807
AT2G22941	description:Defensin-like	520
AT2G22942	description:growth	872
AT2G22950	description:Cation	3899
AT2G22960	description:alpha/beta-Hydrolases	2083
AT2G22970	description:serine	3659
AT2G22980	description:serine	4374
AT2G22990	description:sinapoylglucose	3863
AT2G23000	description:serine	4196
AT2G23010	description:serine	3919
AT2G23030	description:SNF1-related	3239
AT2G23050	description:Phototropic-responsive	2020
AT2G23060	description:Acyl-CoA	1956
AT2G23067	description:Putative	143
AT2G23070	description:Protein	3256
AT2G23080	description:Protein	2433
AT2G23090	description:Uncharacterized	984
AT2G23093	description:Major	2707
AT2G23096	description:2-oxoglutarate	1543
AT2G23100	description:Cysteine/Histidine-rich	2704
AT2G23110	description:Late	613
AT2G23118		143
AT2G23120	description:Late	792
AT2G23130	description:arabinogalactan	1251
AT2G23140	description:RING/U-box	3969
AT2G23142	description:Plant	443
AT2G23148	description:Plant	547
AT2G23150	description:natural	2629
AT2G23160	description:F-box	1274
AT2G23170	description:Auxin-responsive	2707
AT2G23180	description:cytochrome	1804
AT2G23190	description:cytochrome	1949
AT2G23200	description:Protein	2649
AT2G23210	description:UDP-Glycosyltransferase	2137
AT2G23220	description:cytochrome	2202
AT2G23230	description:Terpenoid	3249
AT2G23240	description:Plant	667
AT2G23250	description:UDP-glucosyl	1316
AT2G23260	description:UDP-glucosyl	1512
AT2G23270	description:transmembrane	630
AT2G23290	description:myb	1526
AT2G23300	description:Leucine-rich	3181
AT2G23310	description:Rer1	1936
AT2G23320	description:WRKY	1486
AT2G23321		140
AT2G23340	description:DREB	1205
AT2G23348	description:transmembrane	2144
AT2G23350	description:poly(A)	3432
AT2G23360	description:filament-like	4302
AT2G23370	description:cyclin	2282
AT2G23380	description:SET	5294
AT2G23390	description:acyl-CoA	3274
AT2G23400	description:Undecaprenyl	1430
AT2G23410	description:cis-prenyltransferase	1661
AT2G23420	description:nicotinate	3604
AT2G23430	description:Cyclin-dependent	1500
AT2G23440	description:transmembrane	469
AT2G23445		574
AT2G23450	description:Protein	2848
AT2G23460	description:extra-large	3657
AT2G23470	description:root	2527
AT2G23510	description:spermidine	2052
AT2G23520	description:Pyridoxal	3469
AT2G23530	description:Zinc-finger	2486
AT2G23540	description:GDSL-like	2108
AT2G23550	description:methyl	1209
AT2G23560	description:methyl	1383
AT2G23570	description:methyl	1126
AT2G23580	description:methyl	1284
AT2G23590	description:methyl	1564
AT2G23600	description:acetone-cyanohydrin	2020
AT2G23610	description:methyl	2803
AT2G23620	description:methyl	2105
AT2G23630	description:SKU5	3062
AT2G23640	description:Reticulan	1566
AT2G23660	description:LOB	1757
AT2G23670	description:homolog	708
AT2G23680	description:Cold	1620
AT2G23690	description:HTH-type	1069
AT2G23700	description:Itga6	3957
AT2G23740	description:histone-lysine	5840
AT2G23755	description:transmembrane	1263
AT2G23760	description:BEL1-like	5296
AT2G23770	description:protein	2506
AT2G23780	description:RING/U-box	2139
AT2G23790	description:calcium	2222
AT2G23800	description:geranylgeranyl	1294
AT2G23810	description:tetraspanin8	1990
AT2G23820	description:Metal-dependent	2555
AT2G23830	description:PapD-like	1246
AT2G23834		502
AT2G23840	description:HNH	2113
AT2G23890	description:HAD-superfamily	3369
AT2G23900	description:Pectin	2343
AT2G23910	description:NAD(P)-binding	2307
AT2G23930	description:Putative	1119
AT2G23940	description:transmembrane	1464
AT2G23945	description:Eukaryotic	1509
AT2G23950	description:Leucine-rich	3601
AT2G23960	description:Class	1831
AT2G23970	description:Class	1420
AT2G23980	description:cyclic	4318
AT2G23985		1720
AT2G23987	description:transmembrane	1228
AT2G23990	description:early	1076
AT2G24000	description:serine	4621
AT2G24010	description:serine	3016
AT2G24020	description:Putative	1767
AT2G24030	description:zinc	2003
AT2G24040	description:Low	1314
AT2G24050	description:MIF4G	3473
AT2G24060	description:Translation	2506
AT2G24070	description:QWRF	3040
AT2G24080	description:F-box	1175
AT2G24090	description:Ribosomal	1799
AT2G24100	description:ATP-dependent	2249
AT2G24120	description:DNA/RNA	5790
AT2G24130	description:Leucine-rich	3245
AT2G24140	description:myosin-J	1587
AT2G24150	description:heptahelical	2336
AT2G24170	description:Endomembrane	3167
AT2G24180	description:cytochrome	2017
AT2G24190	description:NAD(P)-binding	1391
AT2G24195	description:transmembrane	923
AT2G24200	description:Cytosol	2879
AT2G24205	description:ECA1	414
AT2G24210	description:terpene	3311
AT2G24220	description:purine	1656
AT2G24230	description:Leucine-rich	2995
AT2G24240	description:BTB/POZ	2091
AT2G24250	description:LOW	1891
AT2G24255	description:LOW	1838
AT2G24260	description:LJRHL1-like	3210
AT2G24270	description:aldehyde	3083
AT2G24280	description:alpha/beta-Hydrolases	4687
AT2G24285	description:zinc	622
AT2G24290	description:ubiquitin-associated	1572
AT2G24300	description:Calmodulin-binding	2951
AT2G24310	description:TPRXL	1172
AT2G24320	description:alpha/beta-Hydrolases	1394
AT2G24330	description:integral	2903
AT2G24340	description:sequence-specific	4116
AT2G24350	description:RNA	3438
AT2G24360	description:Protein	2451
AT2G24370	description:kinase	3964
AT2G24390	description:AIG2-like	1267
AT2G24395	description:chaperone	826
AT2G24400	description:SAUR-like	1689
AT2G24410	description:SMAD/FHA	248
AT2G24420	description:DNA	3457
AT2G24430	description:NAC	3128
AT2G24440	description:selenium	2859
AT2G24450	description:FASCICLIN-like	1189
AT2G24460	description:C3HC4-type	1061
AT2G24470	description:filament-like	794
AT2G24480	description:Zinc	596
AT2G24490	description:replicon	2398
AT2G24500	description:Zinc	2304
AT2G24510	description:F-box	1277
AT2G24520	description:plasma	4820
AT2G24530	description:transcriptional	2561
AT2G24535		766
AT2G24540	description:Galactose	1341
AT2G24550	description:major	1631
AT2G24560	description:GDSL-like	1746
AT2G24570	description:WRKY	2116
AT2G24580	description:FAD-dependent	1955
AT2G24590	description:RNA	1553
AT2G24600	description:Ankyrin	2533
AT2G24610	description:cyclic	3692
AT2G24615	description:Defensin-like	1653
AT2G24617		314
AT2G24620	description:S-locus	883
AT2G24625	description:Defensin-like	946
AT2G24630	description:Glycosyl	3414
AT2G24640	description:ubiquitin-specific	4301
AT2G24645	description:Transcriptional	2265
AT2G24650	description:B3	4432
AT2G24670	description:B3	898
AT2G24680	description:transcriptional	3241
AT2G24681	description:AP2/B3-like	1184
AT2G24683		282
AT2G24690	description:Transcriptional	4216
AT2G24692	description:BTB/POZ	627
AT2G24693	description:Protein	835
AT2G24696	description:transcriptional	1834
AT2G24700	description:Transcriptional	2527
AT2G24710	description:glutamate	3904
AT2G24720	description:glutamate	3511
AT2G24740	description:SET	2267
AT2G24762	description:glutamine	1066
AT2G24765	description:ADP-ribosylation	2608
AT2G24780		560
AT2G24790	description:CONSTANS-like	1309
AT2G24800	description:Peroxidase	1582
AT2G24810	description:Pathosis-related	837
AT2G24820	description:translocon	1996
AT2G24830	description:zinc	2374
AT2G24840	description:AGAMOUS-like	946
AT2G24850	description:tyrosine	3142
AT2G24860	description:DnaJ/Hsp40	1773
AT2G24870	description:Plant	1046
AT2G24880	description:Plant	308
AT2G24940	description:membrane-associated	483
AT2G24945	description:transmembrane	1399
AT2G24950	description:transmembrane	2458
AT2G24960	description:Myb/SANT-like	2771
AT2G24970	description:spindle/kinetochore-associated	1776
AT2G24980	description:Proline-rich	1874
AT2G24990	description:Serine/threonine-protein	3435
AT2G25000	description:WRKY	1751
AT2G25010	description:Aminotransferase-like,	2223
AT2G25050	description:actin-binding	6875
AT2G25055		241
AT2G25060	description:early	913
AT2G25070	description:Protein	2856
AT2G25080	description:glutathione	2229
AT2G25090	description:CBL-interacting	2482
AT2G25100	description:Polynucleotidyl	2530
AT2G25110	description:stromal	2229
AT2G25120	description:Bromo-adjacent	1635
AT2G25125		224
AT2G25130	description:ARM	2104
AT2G25140	description:casein	4574
AT2G25150	description:HXXXD-type	2484
AT2G25160	description:cytochrome	2288
AT2G25169	description:transmembrane	1408
AT2G25170	description:chromatin	9989
AT2G25180	description:response	2971
AT2G25185	description:Defensin-like	519
AT2G25190	description:PPPDE	1874
AT2G25200		1539
AT2G25210	description:Ribosomal	697
AT2G25215		490
AT2G25220	description:Protein	2881
AT2G25230	description:myb	1256
AT2G25240	description:Serine	1724
AT2G25250	description:serine/arginine	1333
AT2G25260	description:Hyp	2423
AT2G25270	description:transmembrane	2844
AT2G25280	description:AmmeMemoRadiSam	2455
AT2G25290	description:Octicosapeptide/Phox/Bem1p	3028
AT2G25295	description:low-molecular-weight	608
AT2G25297	description:transmembrane	653
AT2G25300	description:Galactosyltransferase	2818
AT2G25305	description:Putative	501
AT2G25310	description:ER	2196
AT2G25312	description:ECA1	335
AT2G25320	description:TRAF-like	6613
AT2G25330	description:TRAF-like	2385
AT2G25340	description:vesicle-associated	1168
AT2G25344	description:low-molecular-weight	1086
AT2G25350	description:Phox	3676
AT2G25355	description:PNAS-3-like	2631
AT2G25360	description:RING/U-box	1512
AT2G25370	description:RING/U-box	3094
AT2G25409		633
AT2G25410	description:RING/U-box	1601
AT2G25420	description:transducin	4419
AT2G25430	description:epsin	2747
AT2G25440	description:receptor	2667
AT2G25450	description:2-oxoglutarate	1801
AT2G25460	description:EEIG1/EHBP1	3082
AT2G25470	description:receptor	3709
AT2G25480	description:TPX2	2918
AT2G25482	description:prolamin-like	555
AT2G25490	description:EIN3-binding	3422
AT2G25500	description:Inosine	296
AT2G25510	description:transmembrane	946
AT2G25520	description:Drug/metabolite	1742
AT2G25530	description:AFG1-like	3851
AT2G25540	description:cellulose	5421
AT2G25560	description:DNAJ	3387
AT2G25565	description:C3HC4-type	1233
AT2G25570	description:binding	2336
AT2G25580	description:Tetratricopeptide	2662
AT2G25590	description:Plant	2869
AT2G25600	description:Shaker	4419
AT2G25605	description:DNA-directed	1883
AT2G25610	description:ATPase,	1706
AT2G25620	description:DNA-binding	2431
AT2G25625	description:histone	1135
AT2G25630	description:beta	1520
AT2G25640	description:SPOC	4086
AT2G25650	description:DNA-binding	1705
AT2G25660	description:embryo	11187
AT2G25670		2504
AT2G25680	description:molybdate	1599
AT2G25685	description:SCR-like	586
AT2G25690	description:DUF581	2383
AT2G25700	description:SKP1-like	879
AT2G25710	description:holocarboxylase	2830
AT2G25720		660
AT2G25730	description:zinc	16688
AT2G25735		1261
AT2G25737	description:Sulfite	3162
AT2G25740	description:ATP-dependent	4006
AT2G25760	description:Protein	4116
AT2G25770	description:Polyketide	924
AT2G25780		950
AT2G25790	description:Leucine-rich	3786
AT2G25800	description:elongation	4086
AT2G25810	description:tonoplast	1672
AT2G25820	description:Integrase-type	1049
AT2G25830	description:YebC-like	3187
AT2G25840	description:Nucleotidylyl	3522
AT2G25850	description:poly(A)	5463
AT2G25870	description:haloacid	3610
AT2G25880	description:ataurora2	3539
AT2G25890	description:Oleosin	876
AT2G25900	description:Zinc	1925
AT2G25905	description:transmembrane	1223
AT2G25910	description:3'-5'	3011
AT2G25920	description:pollen-specific	1894
AT2G25930	description:hydroxyproline-rich	4380
AT2G25940	description:alpha-vacuolar	2883
AT2G25950	description:PITH	2081
AT2G25964		648
AT2G25970	description:KH	4083
AT2G25980	description:Mannose-binding	2530
AT2G25990		120
AT2G26000	description:zinc	4194
AT2G26010	description:plant	721
AT2G26020	description:plant	682
AT2G26030	description:F-box/RNI-like/FBD-like	2114
AT2G26040	description:PYR1-like	1284
AT2G26050		728
AT2G26060	description:Transducin/WD40	3141
AT2G26070	description:protein	1583
AT2G26080	description:glycine	5288
AT2G26100	description:Galactosyltransferase	2489
AT2G26110	description:bromodomain	1623
AT2G26120	description:glycine-rich	387
AT2G26130	description:RING/U-box	1447
AT2G26135	description:RING/U-box	1395
AT2G26140	description:FTSH	3887
AT2G26150	description:heat	2168
AT2G26160	description:F-box	1473
AT2G26170	description:cytochrome	2551
AT2G26180	description:IQ-domain	1813
AT2G26190	description:calmodulin-binding	3116
AT2G26200	description:S-adenosyl-L-methionine-dependent	3981
AT2G26210	description:Ankyrin	2299
AT2G26230	description:uricase	2771
AT2G26240	description:Transmembrane	1424
AT2G26250	description:3-ketoacyl-CoA	2862
AT2G26260	description:3beta-hydroxysteroid-dehydrogenase/decarboxylase	5214
AT2G26270	description:BRCT	3974
AT2G26280	description:CTC-interacting	3671
AT2G26290	description:root-specific	2453
AT2G26300	ALPHA	4106
AT2G26310	description:Chalcone-flavanone	2867
AT2G26320	description:AGAMOUS-like	898
AT2G26330	description:Leucine-rich	6582
AT2G26340		1781
AT2G26350	description:peroxin	3068
AT2G26360	description:Mitochondrial	1884
AT2G26370	description:MD-2-related	1670
AT2G26380	description:Leucine-rich	1635
AT2G26390	description:Serine	1773
AT2G26400	description:acireductone	1591
AT2G26410	description:IQ-domain	2728
AT2G26420	description:1-phosphatidylinositol-4-phosphate	4005
AT2G26430	description:arginine-rich	2930
AT2G26440	description:Plant	2460
AT2G26450	description:Plant	2572
AT2G26460	description:RED	4138
AT2G26470	description:embryonic	3444
AT2G26480	description:UDP-glucosyl	1966
AT2G26490	description:Transducin/WD40	1893
AT2G26500	description:cytochrome	992
AT2G26510	description:Xanthine/uracil	3941
AT2G26515		1139
AT2G26520	description:transmembrane	1083
AT2G26530	description:AR781,	1609
AT2G26540	description:uroporphyrinogen-III	3052
AT2G26550	description:heme	2227
AT2G26560	description:phospholipase	2216
AT2G26570	description:WEAK	3405
AT2G26580	description:plant-specific	3555
AT2G26590	description:regulatory	4567
AT2G26600	description:Glycosyl	2174
AT2G26610	description:Transducin	5442
AT2G26620	description:Pectin	1766
AT2G26640	description:3-ketoacyl-CoA	2139
AT2G26650	description:K+	4888
AT2G26660	description:SPX	2198
AT2G26670	description:Plant	2145
AT2G26680	description:FkbM	1774
AT2G26690	description:Major	3846
AT2G26695	description:Ran	1034
AT2G26700	description:AGC	2650
AT2G26710	description:Cytochrome	3358
AT2G26720	description:Cupredoxin	620
AT2G26730	description:Leucine-rich	3384
AT2G26740	description:soluble	1514
AT2G26750	description:alpha/beta-Hydrolases	1512
AT2G26760	description:Cyclin	2315
AT2G26770	description:plectin-like	4442
AT2G26780	description:ARM	13700
AT2G26790	description:Pentatricopeptide	3629
AT2G26800	description:Aldolase	3778
AT2G26810	description:Putative	2544
AT2G26820	description:phloem	4678
AT2G26830	description:Protein	3930
AT2G26840	description:MutS2	1752
AT2G26850	description:F-box	2294
AT2G26860	description:FBD,	1997
AT2G26865	description:transmembrane	329
AT2G26870	description:non-specific	2555
AT2G26880	description:AGAMOUS-like	1193
AT2G26890	description:DNAJ	12304
AT2G26900	description:Sodium	3390
AT2G26910	description:pleiotropic	6944
AT2G26920	description:Ubiquitin-associated/translation	2763
AT2G26930	description:4-(cytidine	2583
AT2G26940	description:C2H2-type	1184
AT2G26950	description:myb	1415
AT2G26960	description:myb	1361
AT2G26970	description:Polynucleotidyl	2256
AT2G26975	description:Ctr	968
AT2G26980	description:CBL-interacting	3989
AT2G26990	description:proteasome	3228
AT2G27000	description:cytochrome	1853
AT2G27010	description:cytochrome	1686
AT2G27020	description:20S	2948
AT2G27030	description:calmodulin	2391
AT2G27035	description:early	967
AT2G27040	description:Argonaute	5889
AT2G27050	description:ETHYLENE-INSENSITIVE3-like	2637
AT2G27060	description:Leucine-rich	4070
AT2G27070	description:response	3823
AT2G27080	description:Late	1216
AT2G27090	description:bZIP	4467
AT2G27100	description:C2H2	4261
AT2G27110	description:FAR1-related	4149
AT2G27120	description:DNA	13183
AT2G27130	description:Bifunctional	1472
AT2G27140	description:HSP20-like	1017
AT2G27145	description:low-molecular-weight	595
AT2G27150	description:abscisic	5472
AT2G27160		984
AT2G27170	description:Structural	8423
AT2G27180		1098
AT2G27190	description:purple	2396
AT2G27200	description:P-loop	3133
AT2G27210	description:BRI1	6884
AT2G27220	description:BEL1-like	2431
AT2G27229	description:Pentatricopeptide	941
AT2G27230	description:transcription	3758
AT2G27240	description:aluminum	2829
AT2G27250	description:CLAVATA3	819
AT2G27260	description:Late	1015
AT2G27270	description:transmembrane	937
AT2G27280	description:coiled-coil	1787
AT2G27285	description:nuclear	2304
AT2G27290	description:FAM210B-like	1614
AT2G27300	description:NTM1-like	1695
AT2G27310	description:F-box	1570
AT2G27313		203
AT2G27315	description:egg	537
AT2G27320	description:NEP-interacting	2032
AT2G27330	description:RNA-binding	1767
AT2G27340	description:N-acetylglucosaminylphosphatidylinositol	2629
AT2G27350	description:OTU-like	4689
AT2G27360	description:GDSL-like	2111
AT2G27370	description:Uncharacterized	1699
AT2G27380	description:extensin	2363
AT2G27385	description:Pollen	954
AT2G27389		787
AT2G27390	description:proline-rich	404
AT2G27402	description:plastid	1592
AT2G27410	description:B3	992
AT2G27420	description:Cysteine	1520
AT2G27430	description:ARM	3612
AT2G27450	description:nitrilase-like	2166
AT2G27460	description:sec23/sec24	4509
AT2G27470	description:nuclear	1474
AT2G27480	description:Calcium-binding	1368
AT2G27490	description:dephospho-CoA	2473
AT2G27500	description:Glycosyl	2002
AT2G27505	description:FBD-like	1332
AT2G27507		255
AT2G27510	description:ferredoxin	1633
AT2G27520	description:F-box	1082
AT2G27530	description:Ribosomal	1718
AT2G27535	description:ribosomal	863
AT2G27540	description:F-box	149
AT2G27550	description:centroradiali	1559
AT2G27570	description:P-loop	976
AT2G27580	description:A20/AN1-like	1143
AT2G27590	description:S-adenosyl-L-methionine-dependent	2358
AT2G27600	description:AAA-type	3096
AT2G27610	description:Tetratricopeptide	2606
AT2G27630	description:Ubiquitin	5248
AT2G27650	description:Ubiquitin	4887
AT2G27660	description:Cysteine/Histidine-rich	2511
AT2G27670		1323
AT2G27680	description:NAD(P)-linked	2344
AT2G27690	description:cytochrome	2001
AT2G27700	description:eukaryotic	2053
AT2G27710	description:60S	1338
AT2G27720	description:60S	882
AT2G27730	description:copper	2308
AT2G27740	description:RAB6-interacting	1344
AT2G27750	description:Surfeit	545
AT2G27760	description:tRNAisopentenyltransferase	2837
AT2G27770	description:DUF868	1884
AT2G27775	description:PPR	664
AT2G27780	description:Transcription	1106
AT2G27790	description:RNA-binding	2325
AT2G27800	description:Tetratricopeptide	1810
AT2G27810	description:nucleobase-ascorbate	4221
AT2G27820	description:prephenate	1717
AT2G27830		1307
AT2G27840	description:histone	2102
AT2G27860	description:UDP-D-apiose/UDP-D-xylose	2721
AT2G27880	description:Argonaute	5611
AT2G27900	description:coiled-coil	8147
AT2G27920	description:serine	3605
AT2G27930	description:PLATZ	1631
AT2G27940	description:RING/U-box	925
AT2G27950	description:Ring/U-Box	4902
AT2G27960	description:cyclin-dependent	1233
AT2G27970	description:CDK-subunit	1274
AT2G27980	description:Acyl-CoA	6642
AT2G27990	description:BEL1-like	3398
AT2G28000	description:chaperonin-60alpha	3042
AT2G28010	description:Eukaryotic	1319
AT2G28020	description:mediator	358
AT2G28030	description:Eukaryotic	1178
AT2G28040	description:Eukaryotic	1404
AT2G28050	description:Pentatricopeptide	1782
AT2G28060	description:5'-AMP-activated	2382
AT2G28070	description:ABC-2	4121
AT2G28080	description:UDP-Glycosyltransferase	2869
AT2G28085	description:SAUR-like	770
AT2G28090	description:Heavy	1867
AT2G28100	description:alpha-L-fucosidase	1937
AT2G28105	description:replication	1610
AT2G28110	description:Exostosin	2138
AT2G28120	description:Major	2149
AT2G28130	description:actin	3259
AT2G28140	description:enabled-like	1282
AT2G28150	description:UPSTREAM	3002
AT2G28160	description:FER-like	1618
AT2G28170	description:Cation/hydrogen	3585
AT2G28180	description:cation/hydrogen	2745
AT2G28190	description:copper/zinc	2157
AT2G28200	description:C2H2-type	1430
AT2G28210	description:alpha	3430
AT2G28220	description:aspartic	1329
AT2G28225	description:aspartic	1254
AT2G28230	description:TATA-binding	1432
AT2G28240	description:ATP-dependent	2967
AT2G28250	description:Protein	3156
AT2G28260	description:cyclic	3141
AT2G28270	description:Cysteine/Histidine-rich	996
AT2G28290	description:P-loop	16312
AT2G28305	description:Putative	3655
AT2G28310	description:trimethylguanosine	2765
AT2G28315	description:Nucleotide/sugar	2098
AT2G28320	description:Pleckstrin	5023
AT2G28330		1015
AT2G28340	description:GATA	2590
AT2G28350	description:auxin	3053
AT2G28355	description:low-molecular-weight	1227
AT2G28360	description:SIT4	5940
AT2G28370	description:Uncharacterized	2228
AT2G28380	description:dsRNA-binding	2509
AT2G28390	description:SAND	4087
AT2G28400	description:senescence	1189
AT2G28405	description:low-molecular-weight	988
AT2G28410	description:transmembrane	962
AT2G28420	description:Lactoylglutathione	1194
AT2G28426		131
AT2G28430	description:zinc	918
AT2G28440	description:proline-rich	1055
AT2G28450	description:zinc	3878
AT2G28460	description:Cysteine/Histidine-rich	2301
AT2G28470	description:beta-galactosidase	5151
AT2G28480	description:RNA-binding	2015
AT2G28490	description:RmlC-like	2415
AT2G28500	description:LOB	2019
AT2G28510	description:Dof-type	1705
AT2G28520	description:vacuolar	6277
AT2G28540	description:RNA	5854
AT2G28550	description:related	2968
AT2G28560	description:DNA	2094
AT2G28570		1012
AT2G28580	description:transmembrane	3668
AT2G28590	description:Protein	2068
AT2G28600	description:P-loop	3088
AT2G28605	description:Photosystem	1035
AT2G28610	description:Homeodomain-like	1582
AT2G28620	description:P-loop	4853
AT2G28625		746
AT2G28630	description:3-ketoacyl-CoA	2777
AT2G28640	description:exocyst	2561
AT2G28650	description:exocyst	1940
AT2G28660	description:Chloroplast-targeted	1990
AT2G28670	description:Disease	1343
AT2G28671		1833
AT2G28680	description:RmlC-like	1871
AT2G28690	description:TOX	1758
AT2G28700	description:AGAMOUS-like	1624
AT2G28710	description:C2H2-type	1198
AT2G28720	description:Histone	1000
AT2G28725	description:forkhead	338
AT2G28740	description:histone	714
AT2G28755	description:UDP-D-glucuronate	616
AT2G28760	description:UDP-XYL	2888
AT2G28780	description:P-hydroxybenzoic	3592
AT2G28790	description:Pathosis-related	1241
AT2G28800	description:63	3247
AT2G28810	description:Dof-type	1921
AT2G28815	description:50S	1063
AT2G28830	description:armadillo/beta-catenin	2200
AT2G28840		2537
AT2G28850	description:cytochrome	1571
AT2G28860	description:cytochrome	1723
AT2G28870	description:cyclin-dependent	950
AT2G28880	description:para-aminobenzoate	4876
AT2G28890	description:poltergeist	2848
AT2G28900	description:outer	1553
AT2G28910	description:CAX	1947
AT2G28920	description:RING/U-box	559
AT2G28930	description:protein	1899
AT2G28940	description:Protein	2027
AT2G28950	description:expansin	2458
AT2G28960	description:Leucine-rich	4874
AT2G28970	description:Leucine-rich	4244
AT2G28990	description:Leucine-rich	5013
AT2G29000	description:Leucine-rich	4269
AT2G29020	description:Rab5-interacting	2076
AT2G29040	description:Exostosin	3030
AT2G29045	description:low-molecular-weight	735
AT2G29050	description:RHOMBOID-like	2408
AT2G29060	description:GRAS	2756
AT2G29065	description:GRAS	2452
AT2G29070	description:Ubiquitin	2365
AT2G29080	description:FTSH	3702
AT2G29090	description:cytochrome	4897
AT2G29100	description:glutamate	3852
AT2G29110	description:glutamate	3829
AT2G29120	description:glutamate	4701
AT2G29125	description:ROTUNDIFOLIA	917
AT2G29130	description:laccase	2976
AT2G29140	description:pumilio	4619
AT2G29150	description:NAD(P)-binding	1249
AT2G29170	description:NAD(P)-binding	815
AT2G29180	description:transmembrane	902
AT2G29190	description:pumilio	4717
AT2G29200	description:pumilio	4692
AT2G29210	description:splicing	4388
AT2G29220	description:Concanavalin	2062
AT2G29250	description:Concanavalin	1871
AT2G29260	description:NAD(P)-binding	1897
AT2G29263		260
AT2G29290	description:NAD(P)-binding	2318
AT2G29300	description:NAD(P)-binding	1568
AT2G29310	description:NAD(P)-binding	1613
AT2G29320	description:NAD(P)-binding	1674
AT2G29330	description:tropinone	1902
AT2G29340	description:NAD-dependent	2181
AT2G29350	description:senescence-associated	1642
AT2G29360	description:NAD(P)-binding	1532
AT2G29370	description:NAD(P)-binding	1606
AT2G29380	description:highly	1675
AT2G29390	description:sterol	2351
AT2G29400	description:type	2400
